CP007012.1	 GCA_000511325.1
CP007013.1	 GCA_000230655.3
CP007025.1	 GCA_000512125.1
CP007031.1	 GCA_000224005.3
CP007039.1	 GCA_000517305.1
CP007044.2	 GCA_000520015.2
CP007045.1	 GCA_000517605.1
CP007067.1	 GCA_000520875.1
CP007128.1	 GCA_000522985.1
CP007133.1	 GCA_000662395.1
CP007136.1	 GCA_000671295.1
CP007142.1	 GCA_000940805.1
CP007147.1	 GCA_000524595.1
CP007148.1	 GCA_000524575.1
CP007151.1	 GCA_000830985.1
CP007152.1	 GCA_000831005.1
CP007166.1	 GCA_000948075.1
CP007175.1	 GCA_000626175.1
CP007201.1	 GCA_000568815.1
CP007221.1	 GCA_000940825.1
CP007222.1	 GCA_000940975.1
CP007242.1	 GCA_000835145.1
CP007245.1	 GCA_000626195.1
CP007246.1	 GCA_000626215.1
CP007247.1	 GCA_000626235.1
CP007248.1	 GCA_000626255.1
CP007250.1	 GCA_000626295.1
CP007251.1	 GCA_000626315.1
CP007252.1	 GCA_000626335.1
CP007253.1	 GCA_000626355.1
CP007254.1	 GCA_000626375.1
CP007258.1	 GCA_000623295.1
CP007259.1	 GCA_000623315.1
CP007260.1	 GCA_000623335.1
CP007261.1	 GCA_000623355.1
CP007262.1	 GCA_000623375.1
CP007263.1	 GCA_000623275.1
